Query,Sentiment_Level
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Abia South East MTN 4G Really good performance here.,5
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
Enugu South East Globacom 4G Awesome QoS from glo. Fast and enjoyable. I recommend.,5
Abia South East Globacom 4G Sweet performance that I like.,5
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Ogun South West Globacom 4G Very bad service,2
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Delta South South MTN 3G Not bad,3
Ogun South West Globacom 4G Glo is very good over here. Browsing can be slow sometimes but it is good on average.,5
Delta South South MTN 4G Very Strong network,5
"Lagos South West MTN 4G MTN data is too expensive, the volume of data isn't worth, the amount we pay for.
That's my view",3
Ondo South West MTN 4G I browse the internet more than I actually make calls so I'd say this network service is very good cause internet connection is fafast,5
Lagos South West Airtel 4G Opening a new app will require that I flip the switch of mobile data. Unless I am using a mifi router. ,3
Lagos South West Airtel 4G A lot of times it's quite fair. It's sometimes unreliable when it rains or when an upgrade is being done. But mostly it works well ,3
Anambra South East Airtel 4G Good ,4
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
"Lagos South West MTN 4G MTN data is too expensive, the volume of data isn't worth, the amount we pay for.
That's my view",3
Ondo South West MTN 4G Very fast and enjoyable. MTN works great,5
Ondo South West MTN 3G Satisfactory. Can improve tho especially I'm browsing. But still better than the lots of em.,4
"Ondo South West MTN 4G Experience has been great so far, just that sometimes the network breaks/fluctuates",4
Ondo South West MTN 4G It hurts to see and know that MTN of south Africa is better than GLO Nigeria and other network combined....,5
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Lagos South West MTN 3G Mtn network is usually bad most of the time,2
"Ondo South West MTN 4G It’s not bad, it can be better ",4
Ondo South West MTN 4G Mtn is very good in ondo state. ,5
Adamawa North East MTN 4G We use it here and it doesn't disappoint. Unlike in other traffic types like 2g and 3g. This is very good.,4
Oyo South West Airtel 3G It's network is very good in calling but doesn't send messages to another phone..,3
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
"Oyo South West Globacom 4G Their service is just something else 
So annoying when you can't connect on time😐",2
Oyo South West MTN 3G It is amazing ,5
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Abuja North Central 9mobile 3G I don't like using 9mobile for anything serious at all. Not satisfied,3
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Ogun South West MTN 4G The SIM's quality is average,3
"Ogun South West Airtel 3G The SIM's quality of service fluctuates. For example, it's internet connection service stays strong sometimes, and some other times, it's abysmal",4
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Lagos South West MTN 3G Bad network,3
Ondo South West MTN 4G It's been on an average. ,2
Lagos South West Airtel 4G Opening a new app will require that I flip the switch of mobile data. Unless I am using a mifi router. ,3
Adamawa North East 9mobile 4G Too bad for 9mobile,3
Ogun South West Globacom 4G Glo is very good over here. Browsing can be slow sometimes but it is good on average.,5
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Lagos South West MTN 4G I'm that game freak. I find it very amusing i get smooth gameplay during poor weather conditions. MTN's game 🎯.,5
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Delta South South Globacom 4G The internet connection is poor,2
Ondo South West MTN 4G Never stop improving.,4
Ondo South West Airtel 3G Airtel is good.,5
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Rivers South South MTN 4G Reliable if using above 4G broadband ,4
Delta South South MTN 3G It's fairly good depending on the location you're at.,3
Lagos South West MTN 3G Mtn network is usually bad most of the time,2
Adamawa North East 9mobile 3G Not satisfactory. Should be ditched,2
Lagos South West MTN 4G It is a good network.,5
Ondo South West Globacom 4G The network here is not good,3
"Other Other MTN 4G Mtn sim sometimes lacks services and network here, especially in the midnight.",3
Adamawa North East 9mobile 2G Very bad network,0
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
"Edo South South MTN 4G Excellent, but at times it fluctuates ",4
Adamawa North East 9mobile 2G Very bad network,0
Abia South East MTN 3G Good quality..I am happy,5
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Adamawa North East Globacom 2G Very poor. Do not use!!,0
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ondo South West MTN 3G Satisfactory. Can improve tho especially I'm browsing. But still better than the lots of em.,4
Oyo South West MTN 4G In all network mtn is the best,0
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Ogun South West Globacom 4G Very bad service,2
Oyo South West MTN 4G In all network mtn is the best,0
Adamawa North East 9mobile 2G Very bad network,0
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Ogun South West MTN 4G The network is very poor even with the 4g,1
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Oyo South West MTN 4G In all network mtn is the best,0
Ogun South West MTN 3G Mtn tries very well even though I am not all that satisfied.,4
Adamawa North East MTN 3G Very faulty and fluctuates. Cannot be relied upon,2
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Oyo South West MTN 3G It's a very good sim for browsing though it misbehaves after it might have rain..,3
Ogun South West MTN 4G Poor,2
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Lagos South West MTN 4G Great,4
"Oyo South West Globacom 4G I feel at ease using this sim, so am comfortable using it",4
Oyo South West MTN 4G In all network mtn is the best,0
"Ondo South West MTN 4G Thing is, around FUTA the internet connection isn't as bad as in town, Oyarubule, orange fm side where you'll be getting a soak of 4kb/s from a 4G network smh",2
Lagos South West MTN 3G Mtn network is usually bad most of the time,2
Abia South East Globacom Other Very great. Really works awesomely.,5
Enugu South East Globacom 4G Glo network is Good here in Enugu(Akpugo) but if it's raining or windy network becomes bad.,4
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Lagos South West MTN 4G Mtn is far better than most service provider,4
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Osun South West MTN 3G It is manageable and works for more.,4
Adamawa North East 9mobile 2G Very bad network,0
Lagos South West MTN 4G Very very awesome. I am so pleased with mtn's quality of service.,5
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Ondo South West MTN 4G MTN is so far the best sim in Nigeria as of now. The only issue I experience with them is getting to subscribe for a package I didn't give consent.,4
Abuja North Central 9mobile 3G I don't like using 9mobile for anything serious at all. Not satisfied,3
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Lagos South West MTN 4G I only have issues with the internet provider. It is sometimes slow especially when rain falls,4
Delta South West MTN 4G It's okay,4
"Lagos South West MTN 4G MTN data is too expensive, the volume of data isn't worth, the amount we pay for.
That's my view",3
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Ondo South West MTN 4G Very fast and enjoyable. MTN works great,5
Delta South West MTN 4G It's okay,4
Osun South West MTN 4G Very lovely and I am so impressed,5
Ondo South West Airtel 3G Airtel is good.,5
Oyo South West MTN 4G In all network mtn is the best,0
Lagos South West Globacom 4G Can be better ,2
Oyo South West MTN 3G not too good ,3
Ogun South West Globacom 3G Mostly it's very bad 😭,2
Lagos South West MTN 4G Great,4
Abia South East MTN 4G Really good performance here.,5
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Ogun South West MTN 4G It’s actually okay no cap,5
Abia South East Airtel 3G Not too good for use.but better than some.,3
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
"Lagos South West 9mobile 4G It's okay, but sometimes the network can be so bad. ",3
Ogun South West MTN 4G Average ,3
Oyo South West MTN 4G In all network mtn is the best,0
Ogun South West MTN 4G Poor,2
Adamawa North East 9mobile 2G Very bad network,0
Ondo South West MTN 4G I guess they are tired of been network provider,1
"Ondo South West MTN 4G It’s not bad, it can be better ",4
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Abia South East Globacom 2G Poor service using this traffic type.,2
Abuja North Central Airtel 3G Still needs more work before it can be relaible.,3
Ondo South West MTN 3G It is good expect for data that finish quickly,4
Adamawa North East Airtel 3G Its not good for most operations especially browsing.,2
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
"Ogun South West MTN 4G It has always been quite okay, until recently.",4
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
"Ondo South West Airtel 4G Strong
Sometimes it goes on and off",4
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Oyo South West MTN 4G In all network mtn is the best,0
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Lagos South West MTN 3G Bad network,3
Delta South South MTN 4G Basically I'll give it a passmark. I actually believe my Globacom will be better at the cost of subscription but it's network isn't so very available especially during this rainy seasons. Thanks 👍,4
Lagos South West Airtel 4G The network works swiftly ,3
Other Other MTN 2G MTN,1
"Ondo South West MTN 3G It's a bit above average, just terrible when there is service congestion but aside that it is very good.",3
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Other Other MTN 2G MTN,1
Abuja North Central MTN 4G It's been fair but it could be better,2
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ogun South West MTN 4G Very good QoS from MTN's 4G in Ogun state,5
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
"Lagos South West 9mobile 4G It's okay, but sometimes the network can be so bad. ",3
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Delta South South Globacom 4G The internet connection is poor,2
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
"Lagos South West Globacom 4G Glo has its moment 
Majority of the time it’s bad ",2
"Ondo South West MTN 4G MTN, alongside top brands, are playing a major part of the biggest scam in the telecommunications industry ",3
Adamawa North East 9mobile 3G Not satisfactory. Should be ditched,2
Adamawa North East 9mobile 2G Very bad network,0
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Ondo South West MTN 4G It’s Nice but I will love their network be evenly sufficient in all areas ,3
Abia South East Globacom Other Very great. Really works awesomely.,5
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Adamawa North East 9mobile 2G Very bad network,0
Ondo South West MTN 4G The quality of service is okay and can be recommended for new users ,4
Adamawa North East 9mobile 2G Very bad network,0
Delta South South Globacom 4G The internet connection is poor,2
"Lagos South West MTN 4G 40mb/s in Nigeria, if that should do.. ",5
Ondo South West MTN 4G  I could recommend it,5
Adamawa North East 9mobile 3G Not satisfactory. Should be ditched,2
"Ekiti South West Airtel 4G Well I love my ISP (Airtel NG), sometimes my Data connection is fast, sometimes kinda slow, but overall, it get my job done and  i prefer it to MTN",4
Ogun South West Globacom 3G Very weak and unsatisfactory. I dont like it at all,3
Ogun South West MTN 4G Good ,4
Ogun South West MTN 4G It’s actually okay no cap,5
"Abuja North Central Airtel 4G It's one of the best Subscriber identification module in Africa.

But they need to upgrade on thier data policy",4
Enugu South East Globacom 4G Awesome QoS from glo. Fast and enjoyable. I recommend.,5
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
"Oyo South West Globacom 4G Their service is just something else 
So annoying when you can't connect on time😐",2
"Lagos South West MTN 4G The quality of service is good, but once in a while, the network becomes really frustrating and sometimes i have to restart my device over and over ",4
"Ondo South West Globacom 4G It's actually ok.,but sometimes it can be a bit frustrating ",4
Abia South East 9mobile 4G An average performance from 9mobile. Below average and it is not good when compared to other networks.,3
Lagos South West MTN Other The service is manageable.,4
Lagos South West MTN 4G Very very awesome. I am so pleased with mtn's quality of service.,5
Oyo South West MTN 4G Not bad ,3
Ondo South West Globacom 3G Good and reliable but only on very important and big occasion they tend to Fuck up,3
Abia South East Globacom 2G Poor service using this traffic type.,2
Lagos South West MTN 4G Not so bad and not so good ,3
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Delta South South Globacom 4G The internet connection is poor,2
"Oyo South West Globacom 4G Their service is just something else 
So annoying when you can't connect on time😐",2
"Ogun South West MTN 4G It has always been quite okay, until recently.",4
"Ogun South West MTN 3G I would say quite good, but most times the only difficulty I experience is with the internet connectivity. It's sometimes very slow. ",3
Lagos South West MTN 3G Satisfactory ,4
Ogun South West Others 3G ...,2
Lagos South West Globacom 4G Can be better ,2
Enugu South East MTN 4G I greatly advice anybody in Enugu to use mtn. It works so great,5
Oyo South West MTN 4G Manageable ,3
Abuja North Central MTN 4G It's been fair but it could be better,2
"Ondo South West MTN 4G Thing is, around FUTA the internet connection isn't as bad as in town, Oyarubule, orange fm side where you'll be getting a soak of 4kb/s from a 4G network smh",2
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
Adamawa North East 9mobile 2G Very bad network,0
"Lagos South West Airtel 4G They are improving Alot, even when there's a storm, one can still access the internet comfortably. ",4
"Ondo South West MTN 4G Very good
",5
Lagos South West MTN 4G Not too good 😪Mtn needs to improve ,3
Adamawa North East 9mobile 2G Very bad network,0
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Adamawa North East 9mobile 3G Not satisfactory. Should be ditched,2
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Adamawa North East MTN 3G Very faulty and fluctuates. Cannot be relied upon,2
Lagos South West MTN 3G Very satisfactory and I have no issues at all.,5
Lagos South West MTN 4G Great,4
Oyo South West MTN 4G Satisfactory network quality.,4
Ogun South West MTN 4G Very good QoS from MTN's 4G in Ogun state,5
Adamawa North East Globacom 3G I am not happy with glo here.,3
Oyo South West Airtel 3G The network is stressing and annoying especially when you have important things to do online,3
Oyo South West MTN 4G Manageable ,3
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
Delta South South Globacom 4G It has a slow browsing rate,3
Abuja North Central MTN 4G The network is sometimes poor,4
Ogun South West MTN 4G The network is very poor even with the 4g,1
Abia South East Globacom Other Very great. Really works awesomely.,5
Lagos South West Airtel 4G Airtel is the best network. I swear I've been using just one sim since 5years yeah. ,5
Abuja North Central Airtel 2G Bad quality over here.,1
Delta South South Globacom 4G The internet connection is poor,2
Lagos South West MTN 3G Mtn network is usually bad most of the time,2
Ogun South West MTN 4G The network is very poor even with the 4g,1
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Ondo South West Globacom 4G The network here is not good,3
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
Lagos South West Globacom 4G Can be better ,2
Ondo South West MTN 4G Mtn is very good in ondo state. ,5
"Ondo South West Airtel 4G It's good, but can fumble when I need it for something important.",3
Oyo South West MTN 4G In all network mtn is the best,0
Other Other MTN 2G MTN,1
Adamawa North East 9mobile 2G Very bad network,0
Ogun South West Globacom 3G Very weak and unsatisfactory. I dont like it at all,3
Osun South West MTN 4G Very lovely and I am so impressed,5
Abuja North Central MTN 4G It's a very good idea ,4
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
Lagos South West MTN 4G Not too good 😪Mtn needs to improve ,3
Other South East Globacom 4G Really a below average performance from Glo. I don't like it here at all.,3
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Adamawa North East Airtel 3G Its not good for most operations especially browsing.,2
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
Lagos South West MTN 4G It not very good ,3
Ondo South West MTN 3G Okay ,3
Abuja North Central Globacom 4G Fast and reliable,4
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Delta South West MTN 4G It's okay,4
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ogun South West MTN 4G Good but not excellent ,4
Lagos South West Globacom 4G Can be better ,2
Ondo South West MTN 4G I guess they are tired of been network provider,1
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Adamawa North East MTN 3G Very faulty and fluctuates. Cannot be relied upon,2
Ondo South West MTN 4G I guess they are tired of been network provider,1
Lagos South West Airtel 4G Airtel is the best network. I swear I've been using just one sim since 5years yeah. ,5
"Ogun South West Globacom 3G The network is great, but they usually have hitches especially when rain falls",4
Ondo South West MTN 4G I browse the internet more than I actually make calls so I'd say this network service is very good cause internet connection is fafast,5
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Lagos South West MTN 4G Call rates are quiet cheap whilst data services are fair enough according to those who use it as I don’t use it for data.,3
Oyo South West MTN 4G Manageable ,3
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Ondo South West MTN 4G Good but there are improvements to be made,3
"Lagos South West MTN 4G MTN Network is perfect at times though can be a bit frustrating atimes
",4
Ogun South West MTN 4G Poor,2
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Ondo South West MTN 4G Very fast and enjoyable. MTN works great,5
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Abia South East MTN 4G Really good performance here.,5
Ondo South West MTN 4G The service is always poor when it's rainy,3
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Abuja North Central Globacom 4G Fast and reliable,4
Ogun South West MTN 4G Poor,2
Lagos South West MTN 4G I'm that game freak. I find it very amusing i get smooth gameplay during poor weather conditions. MTN's game 🎯.,5
Adamawa North East MTN 3G Very faulty and fluctuates. Cannot be relied upon,2
"Oyo South West MTN 4G Amazing data plans, but the network is not strong enough in my area of residence.",3
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Lagos South West Airtel 4G It sometimes goes off while using the internet. But it is okay.,4
Oyo South West MTN 4G In all network mtn is the best,0
Ogun South West MTN 4G The internet experience is bad,3
Abuja North Central Airtel 4G Very good to use. Reliable and smooth,4
"Oyo South West MTN 4G The quality of my MTN sum is very good and reliable but when the weather is bad, the connectivity is not so good especially when I browse the internet. ",5
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
Ogun South West MTN 4G Very good QoS from MTN's 4G in Ogun state,5
Oyo South West MTN 4G Fair,3
"Lagos South West Globacom 4G Glo has its moment 
Majority of the time it’s bad ",2
Lagos South West Globacom Other 100% excellent.,5
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
"Ogun South West Globacom 4G It's not that bad ,but sometimes network fuck up ,it doesn't happen frequently but just once in a blue moon",4
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
"Ondo South West MTN 4G Very good
",5
Lagos South West MTN 4G Very very awesome. I am so pleased with mtn's quality of service.,5
Edo South South MTN 4G Top notch ,5
Adamawa North East 9mobile 2G Very bad network,0
Anambra South East Airtel 4G Good ,4
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Delta South South Globacom 4G Reliable and strong,4
Lagos South West Airtel 4G A lot of times it's quite fair. It's sometimes unreliable when it rains or when an upgrade is being done. But mostly it works well ,3
Abuja North Central MTN 4G MTN is just okay . It has served me adequately for about a decade now. They could improve in some areas however.,3
Osun South West Globacom 3G Very weak to work with.,3
"Akwa-Ibom South South Airtel 4G Fast for calls, low sms charges and good for browsing",4
Delta South South Airtel 3G The quality is the best for me compared to other service providers.,4
"Lagos South West Globacom 4G Glo has its moment 
Majority of the time it’s bad ",2
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Ondo South West MTN 4G Still needs to do more,4
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
